X	Y	mean	nr_fire	nr_100km2	gridsize
-177.5	9.5	0	0	0	1222192.619
-177.5	10.5	0	0	0	1218437.02
-177.5	11.5	0	0	0	1214310.274
-177.5	12.5	0	0	0	1209813.637
-177.5	13.5	0	0	0	1204948.479
-177.5	14.5	0	0	0	1199716.282
-177.5	15.5	0	0	0	1194118.639
-177.5	16.5	0	0	0	1188157.257
-177.5	17.5	0	0	0	1181833.95
-176.5	-35.5	0	0	0	1008841.594
-176.5	-34.5	0	0	0	1021246.691
-176.5	-33.5	0	0	0	1033340.707
-176.5	-32.5	0	0	0	1045119.957
-176.5	-31.5	0	0	0	1056580.854
-176.5	-30.5	0	0	0	1067719.906
-176.5	-29.5	0	0	0	1078533.72
-176.5	-28.5	0	0	0	1089019.002
-176.5	-27.5	0	0	0	1099172.558
-176.5	-26.5	0	0	0	1108991.296
-176.5	-25.5	0	0	0	1118472.224
-176.5	-24.5	0	0	0	1127612.455
-176.5	-23.5	0	0	0	1136409.204
-176.5	-22.5	0	0	0	1144859.792
-176.5	-21.5	0	0	0	1152961.644
-176.5	-20.5	0	0	0	1160712.293
-176.5	-19.5	0	0	0	1168109.378
-176.5	-18.5	0	0	0	1175150.645
-176.5	-17.5	0	0	0	1181833.95
-176.5	-16.5	0	0	0	1188157.257
-176.5	-15.5	0	0	0	1194118.639
-176.5	-14.5	0	0	0	1199716.282
-176.5	-13.5	0	0	0	1204948.479
-176.5	-12.5	0	0	0	1209813.637
-176.5	-11.5	0	0	0	1214310.274
-176.5	-10.5	0	0	0	1218437.02
-176.5	-9.5	0	0	0	1222192.619
-176.5	-8.5	0	0	0	1225575.926
-176.5	-7.5	0	0	0	1228585.91
-176.5	-6.5	0	0	0	1231221.655
-176.5	-5.5	0	0	0	1233482.358
-176.5	-4.5	0	0	0	1235367.33
-176.5	-3.5	0	0	0	1236875.997
-176.5	-2.5	0	0	0	1238007.9
-176.5	-1.5	0	0	0	1238762.693
-176.5	-0.5	0	0	0	1239140.147
-176.5	0.5	0	0	0	1239140.147
-176.5	1.5	0	0	0	1238762.693
-176.5	2.5	0	0	0	1238007.9
-176.5	3.5	0	0	0	1236875.997
-176.5	4.5	0	0	0	1235367.33
-176.5	5.5	0	0	0	1233482.358
-176.5	6.5	0	0	0	1231221.655
-176.5	7.5	0	0	0	1228585.91
-176.5	8.5	0	0	0	1225575.926
-176.5	9.5	0	0	0	1222192.619
-176.5	10.5	0	0	0	1218437.02
-176.5	11.5	0	0	0	1214310.274
-176.5	12.5	0	0	0	1209813.637
-176.5	13.5	0	0	0	1204948.479
-176.5	14.5	0	0	0	1199716.282
-176.5	15.5	0	0	0	1194118.639
-176.5	16.5	0	0	0	1188157.257
-176.5	17.5	0	0	0	1181833.95
-175.5	-35.5	0	0	0	1008841.594
-175.5	-34.5	0	0	0	1021246.691
-175.5	-33.5	0	0	0	1033340.707
-175.5	-32.5	0	0	0	1045119.957
-175.5	-31.5	0	0	0	1056580.854
-175.5	-30.5	0	0	0	1067719.906
-175.5	-29.5	0	0	0	1078533.72
-175.5	-28.5	0	0	0	1089019.002
-175.5	-27.5	0	0	0	1099172.558
-175.5	-26.5	0	0	0	1108991.296
-175.5	-25.5	0	0	0	1118472.224
-175.5	-24.5	0	0	0	1127612.455
-175.5	-23.5	0	0	0	1136409.204
-175.5	-22.5	0	0	0	1144859.792
-175.5	-21.5	0	0	0	1152961.644
-175.5	-20.5	0	0	0	1160712.293
-175.5	-19.5	0	0	0	1168109.378
-175.5	-18.5	0	0	0	1175150.645
-175.5	-17.5	0	0	0	1181833.95
-175.5	-16.5	0	0	0	1188157.257
-175.5	-15.5	0	0	0	1194118.639
-175.5	-14.5	0	0	0	1199716.282
-175.5	-13.5	0	0	0	1204948.479
-175.5	-12.5	0	0	0	1209813.637
-175.5	-11.5	0	0	0	1214310.274
-175.5	-10.5	0	0	0	1218437.02
-175.5	-9.5	0	0	0	1222192.619
-175.5	-8.5	0	0	0	1225575.926
-175.5	-7.5	0	0	0	1228585.91
-175.5	-6.5	0	0	0	1231221.655
-175.5	-5.5	0	0	0	1233482.358
-175.5	-4.5	0	0	0	1235367.33
-175.5	-3.5	0	0	0	1236875.997
-175.5	-2.5	0	0	0	1238007.9
-175.5	-1.5	0	0	0	1238762.693
-175.5	-0.5	0	0	0	1239140.147
-175.5	0.5	0	0	0	1239140.147
-175.5	1.5	0	0	0	1238762.693
-175.5	2.5	0	0	0	1238007.9
-175.5	3.5	0	0	0	1236875.997
-175.5	4.5	0	0	0	1235367.33
-175.5	5.5	0	0	0	1233482.358
-175.5	6.5	0	0	0	1231221.655
